address,price
"Екатеринбург, улица Токарей, 68",81446
"Екатеринбург, улица Декабристов, 4",57719
"Екатеринбург, улица Чкалова, 145",80932
"Екатеринбург, Орджоникидзевский район, улица Индустрии, 94Б",68750
"Екатеринбург, улица Очеретина, 14",56911
"Екатеринбург, микрорайон Юго-Западный, улица Шаумяна, 102А",84296
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",89873
"Екатеринбург, Селькоровская улица, 36",73108
"Екатеринбург, улица Сурикова, 47",86913
"Екатеринбург, Чкаловский район, микрорайон Светлый Микрорайон, 7",66410
"Екатеринбург, улица Маршала Жукова, 14",117431
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Красина, 4",63535
"Екатеринбург, улица Маяковского, 2Е",75549
"Екатеринбург, улица Хомякова, 17",79361
"Екатеринбург, улица Сакко и Ванцетти, 58",69481
"Екатеринбург, Широкий переулок, 2А",67000
"Екатеринбург, Московская улица, 196",95238
"Екатеринбург, проспект Космонавтов, 55",60000
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",99379
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, Ольховская улица, 27к1",59649
"Екатеринбург, улица Щербакова, 5к1",69175
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11",65200
"Екатеринбург, Техническая улица, 148",63655
"Екатеринбург, Советская улица, 41",60847
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Парниковая улица, 1",57178
"Екатеринбург, улица Репина, 84",80448
"Екатеринбург, улица Лётчиков, 10А",58730
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",120755
"Екатеринбург, микрорайон Автовокзал",100164
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11",63800
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Фрезеровщиков, 25к2",58537
"Екатеринбург, улица Амундсена, 50",65972
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",74500
"Екатеринбург, микрорайон ЖБИ, Сиреневый бульвар, 23",65517
"Екатеринбург, улица Рутминского, 2",70932
"Екатеринбург, Филатовская улица",68600
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, Ольховская улица, 23",64912
"Екатеринбург, Орджоникидзевский район, улица Индустрии, 36",84932
"Екатеринбург, микрорайон Уктус",85529
"Екатеринбург, Октябрьский район, микрорайон Кольцово, улица Испытателей, 15",46552
"Екатеринбург, проспект Седова, 56",48544
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",142446
"Екатеринбург, улица Гастелло, 32А",81114
"Екатеринбург, Водоёмная улица, 80к3",86707
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",106498
"Екатеринбург, Красноуральская улица, 29",81481
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 68",71611
"Екатеринбург, Ангарская улица, 52к1",53073
"Екатеринбург, Верх-Исетский район, жилой комплекс Меридиан",53800
"Екатеринбург, улица Маршала Жукова, 14",138381
"Екатеринбург, Лучистая улица, 2",82895
"Екатеринбург, Рощинская улица, 39",77551
"Екатеринбург, улица Хохрякова, 63",132292
"Екатеринбург, улица Белинского, 41",143205
"Екатеринбург, микрорайон Юго-Западный, Белореченская улица, 13к1",58140
"Екатеринбург, микрорайон Уктус",106290
"Екатеринбург, Гурзуфская улица, 28",87172
"Екатеринбург, Орджоникидзевский район, улица Ломоносова, 155А",61162
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",139310
"Екатеринбург, улица Владимира Высоцкого, 30",59375
"Екатеринбург, улица Крестинского, 59к2",63750
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",84319
"Екатеринбург, улица Карла Маркса, 60",90909
"Екатеринбург, Орджоникидзевский район, Ярославская улица, 17",75928
"Екатеринбург, Верх-Исетский район, жилой комплекс Меридиан",53800
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Старых Большевиков, 38",66167
"Екатеринбург, Уральских рабочих, 37а",65000
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Сулимова, 3",73800
"Екатеринбург, улица Щорса, 94",100000
"Екатеринбург, Латвийская улица, 3",51148
"Екатеринбург, Дорожная улица, 4Ж",47625
"Екатеринбург, микрорайон Юго-Западный, улица Громова, 28",76354
"Екатеринбург, микрорайон Автовокзал",94650
"Екатеринбург, микрорайон ЖБИ, Сиреневый бульвар, 4к2",80402
"Екатеринбург, улица Новгородцевой, 15",88589
"Екатеринбург, Латвийская улица, 37",72619
"Екатеринбург, Счастливая улица, 8",89918
"Екатеринбург, улица Рябинина, 21",72658
"Екатеринбург, микрорайон ЖБИ, Сиреневый бульвар, 4к2",80402
"Екатеринбург, Кировский район, микрорайон Пионерский, Уральская улица, 3",94488
"Екатеринбург, улица Шевченко, 20",116392
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",114950
"Екатеринбург, Кировский район, микрорайон Пионерский, Асбестовский переулок, 8",56984
"Екатеринбург, улица Верещагина, 14",73000
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",101341
"Екатеринбург, улица Саввы Белых, 16",64271
"Екатеринбург, улица Щорса, 24",84615
