address,price,longitude,latitude
"Санкт-Петербург, посёлок Парголово, Парнасная, 1 к 1",112500,30.319129,60.076008
"Санкт-Петербург, Наличная улица, 26к6",147463,30.229962,59.940384
"Санкт-Петербург, Комендантский проспект, 60к1",140152,30.225614,60.035351
"Санкт-Петербург, Среднерогатская улица, 11",170115,30.33308,59.822711
"Санкт-Петербург, городской посёлок Янино-1, Голландская улица, 10к2",107479,30.571816,59.952056
"Санкт-Петербург, Пулковское шоссе, 14Г",114496,30.325732,59.8321
"Санкт-Петербург, Барочная улица, 4АЛ",342291,30.28599,59.965421
"Санкт-Петербург, улица Коллонтай, 23к1",106592,30.473046,59.919694
"Санкт-Петербург, территория Горелово, Красносельское шоссе, 56к1",93250,30.153695,59.795501
"Санкт-Петербург, 11-я Красноармейская улица, 13",220768,30.299725,59.912382
"Санкт-Петербург, Мурино, проспект Авиаторов Балтики, 13",134483,30.441399,60.056279
"Санкт-Петербург, Октябрьская набережная, 44",126427,30.447965,59.894102
"Санкт-Петербург, Московский район, муниципальный округ Московская Застава",157186,30.323854,59.885359
"Санкт-Петербург, Мурино, бульвар Менделеева, 12к2",111136,30.430646,60.054972
"Санкт-Петербург, 5-й Предпортовый проезд, 1",190476,30.310406,59.840704
"Санкт-Петербург, Малая Разночинная улица, 10",168287,30.289664,59.958778
"Санкт-Петербург, Лесопарковая улица, 28",89245,30.5201,59.973289
"Санкт-Петербург, улица Хошимина, 13к2",98451,30.329163,60.050898
"Санкт-Петербург, Сестрорецк, жилой комплекс Русские Сезоны",192053,29.954799,60.114082
"Санкт-Петербург, Старо-Петергофский проспект, 3-5",101340,30.278363,59.915264
"Санкт-Петербург, улица Есенина, 1к1",136842,30.330502,60.028928
"Санкт-Петербург, Белоостровская улица, 8",135250,30.321267,59.986088
"Санкт-Петербург, Московский проспект, 192-194",266379,30.321599,59.863364
"Санкт-Петербург, улица Грибалёвой, 9к1",158463,30.353525,59.984445
"Санкт-Петербург, улица Грибалёвой, 9к1",168358,30.353525,59.984445
"Санкт-Петербург, Белоостровская улица, 8",137334,30.321267,59.986088
"Санкт-Петербург, Варшавская улица, 41к3",114120,30.310999,59.858769
"Санкт-Петербург, Конногвардейский бульвар, 5",378947,30.300794,59.934416
"Санкт-Петербург, Адмиралтейский район, муниципальный округ Измайловское",275433,30.308179,59.907501
