address,price
"Санкт-Петербург, Каменноостровский проспект, 56к2",311464
"Санкт-Петербург, 5-й Предпортовый проезд, 1",164706
"Санкт-Петербург, 3-я линия Васильевского острова, 20",147619
"Санкт-Петербург, набережная реки Фонтанки, 179",101918
"Санкт-Петербург, посёлок Шушары, Пушкинская улица, 50",90864
"Санкт-Петербург, Мурино, Воронцовский бульвар, 20к3",106464
"Санкт-Петербург, Барочная улица, 4АЛ",342291
"Санкт-Петербург, Алтайская улица, 26",149500
"Санкт-Петербург, Приморский проспект, 62к1",128500
"Санкт-Петербург, 11-я Красноармейская улица, 13",220768
"Санкт-Петербург, посёлок Шушары, территория Славянка, Ростовская улица, 14-16",77049
"Санкт-Петербург, Мурино, улица Шоссе в Лаврики, 55",95029
"Санкт-Петербург, Московский район, муниципальный округ Московская Застава",157186
"Санкт-Петербург, территория Лахта, Новая улица, 51к2",203409
"Санкт-Петербург, Общественный переулок, 5",157143
"Санкт-Петербург, Малая Разночинная улица, 10",168287
"Санкт-Петербург, Дунайский проспект, 14к1",154412
"Санкт-Петербург, Сестрорецк, жилой комплекс Русские Сезоны",201049
"Санкт-Петербург, улица Хошимина, 9к2",141000
"Санкт-Петербург, Мурино, бульвар Менделеева, 8",94703
"Санкт-Петербург, Белоостровская улица, 8",137110
"Санкт-Петербург, Среднерогатская улица, 13к2",149709
"Санкт-Петербург, проспект Елизарова, 6к2Г",100000
"Санкт-Петербург, улица Савушкина, 7к3",168269
