address,area,price
"Екатеринбург, ул. Белинского, 108",84.4,82701
"Екатеринбург, ул. Тверитина, 46",48.6,123045
"Екатеринбург, мкр. Светлый, стр. 7",39.2,62500
"Екатеринбург, ул. Евгения Савкова, д. 35",62.5,62560
"Екатеринбург, ул. Ирбитская, стр. 5",74.2,69542
"Екатеринбург, ул. Московская, д. 198",97.9,78476
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, ул. Индустрии, 66",31.0,106129
"Екатеринбург, ул. Бажова, 68",66.0,92348
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Стачек, 4",37.0,69459
"Екатеринбург, г. Екатеринбург, микрорайон Светлый, 4",56.4,58511
"Екатеринбург, пр-т Академика Сахарова, д. 45",26.5,76226
"Екатеринбург, ул. Блюхера, д. 5",56.0,87500
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Кунарская ул., 34",83.0,55422
"Екатеринбург, ул. Михеева, 2",64.0,69531
"Екатеринбург, ул. 40-летия Комсомола, д. 24",35.5,87324
"Екатеринбург, ул. Белинского, 177Ак3",50.0,82000
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",35.1,89538
"Екатеринбург, ул. Рябинина, 21",58.1,64544
"Екатеринбург, ул. Анатолия Мехренцева, 32",83.0,61446
"Екатеринбург, ул. Евгения Савкова, д. 33 А",21.7,84009
"Екатеринбург, Хрустальногорская ул., 84",57.8,63841
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской",44.0,67045
"Екатеринбург, Базовый пер., 48",57.2,70787
"Екатеринбург, Свердловская область, Екатеринбург, Рощинская улица, 21",21.0,100000
"Екатеринбург, Миасская ул., 12",41.0,86585
"Екатеринбург, ул. Хуторская, д. 1",42.0,79762
"Екатеринбург, Хрустальногорская ул., 87",32.8,75412
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",60.7,95552
"Екатеринбург, ул. Чкалова, стр. 22",75.5,80795
"Екатеринбург, ул. 8 Марта, 194",42.6,98944
"Екатеринбург, пос. Совхозный, Разливная ул., 50к3",96.1,63085
"Екатеринбург, ул. Евгения Савкова, 4",49.4,67664
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 91",41.0,72195
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, Симбирский пер., 2",70.2,76846
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",60.0,70500
"Екатеринбург, микрорайон Юго-Западный, ул. Громова, 28",45.0,90000
"Екатеринбург, Переходный пер., 6",72.0,78194
"Екатеринбург, Селькоровская ул., 34",47.8,67992
"Екатеринбург, ул. Раевского, 6",69.4,76225
"Екатеринбург, Свердловская область, Екатеринбург, микрорайон Автовокзал",60.8,69798
"Екатеринбург, Павлодарская ул.",31.3,85224
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Данилы Зверева, 17А",43.0,80853
"Екатеринбург, ул. Радищева, 33",117.0,84359
"Екатеринбург, ул. Мичурина, 54",37.2,68548
