address,area,price,longtitude,latitude
"Екатеринбург, ул. Белинского, 108",84.4,82701,56.819695,60.618172
"Екатеринбург, ул. Тверитина, 46",48.6,123045,56.821868,60.620094
"Екатеринбург, мкр. Светлый, стр. 7",39.2,62500,56.779136,60.70361
"Екатеринбург, ул. Евгения Савкова, д. 35",62.5,62560,56.789333,60.49
"Екатеринбург, ул. Ирбитская, стр. 5",74.2,69542,56.861377,60.657572
"Екатеринбург, ул. Московская, д. 198",97.9,78476,56.800646,60.593495
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, ул. Индустрии, 66",31.0,106129,56.903936,60.606413
"Екатеринбург, ул. Бажова, 68",66.0,92348,56.847602,60.622528
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Стачек, 4",37.0,69459,56.883951,60.633605
"Екатеринбург, г. Екатеринбург, микрорайон Светлый, 4",56.4,58511,56.777913,60.704015
"Екатеринбург, пр-т Академика Сахарова, д. 45",26.5,76226,56.781996,60.520758
"Екатеринбург, ул. Блюхера, д. 5",56.0,87500,56.846297,60.632886
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Кунарская ул., 34",83.0,55422,56.884325,60.503008
"Екатеринбург, ул. Михеева, 2",64.0,69531,56.782583,60.553978
"Екатеринбург, ул. 40-летия Комсомола, д. 24",35.5,87324,56.827867,60.692822
"Екатеринбург, ул. Белинского, 177Ак3",50.0,82000,56.798251,60.639614
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",35.1,89538,56.815784,60.634207
"Екатеринбург, ул. Рябинина, 21",58.1,64544,56.796294,60.510922
"Екатеринбург, ул. Анатолия Мехренцева, 32",83.0,61446,56.788164,60.52887
"Екатеринбург, ул. Евгения Савкова, д. 33 А",21.7,84009,56.788934,60.486766
"Екатеринбург, Хрустальногорская ул., 84",57.8,63841,56.795604,60.496207
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской",44.0,67045,56.862804,60.559368
"Екатеринбург, Базовый пер., 48",57.2,70787,56.806166,60.648104
"Екатеринбург, Свердловская область, Екатеринбург, Рощинская улица, 21",21.0,100000,56.782908,60.66554
"Екатеринбург, Миасская ул., 12",41.0,86585,56.786311,60.651068
"Екатеринбург, ул. Хуторская, д. 1",42.0,79762,56.803135,60.638501
"Екатеринбург, Хрустальногорская ул., 87",32.8,75412,56.796821,60.499567
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",60.7,95552,56.812897,60.574702
"Екатеринбург, ул. Чкалова, стр. 22",75.5,80795,56.810369,60.577083
"Екатеринбург, ул. 8 Марта, 194",42.6,98944,56.801444,60.611273
"Екатеринбург, пос. Совхозный, Разливная ул., 50к3",96.1,63085,56.765414,60.543737
"Екатеринбург, ул. Евгения Савкова, 4",49.4,67664,56.796496,60.494303
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 91",41.0,72195,56.790191,60.504714
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, Симбирский пер., 2",70.2,76846,56.896529,60.582679
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",60.0,70500,56.78633,60.646001
"Екатеринбург, микрорайон Юго-Западный, ул. Громова, 28",45.0,90000,56.810206,60.571953
"Екатеринбург, Переходный пер., 6",72.0,78194,56.803539,60.630946
"Екатеринбург, Селькоровская ул., 34",47.8,67992,56.763317,60.611317
"Екатеринбург, ул. Раевского, 6",69.4,76225,56.863626,60.657257
"Екатеринбург, Свердловская область, Екатеринбург, микрорайон Автовокзал",60.8,69798,56.807127,60.617013
"Екатеринбург, Павлодарская ул.",31.3,85224,56.786478,60.645687
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Данилы Зверева, 17А",43.0,80853,56.86335,60.652514
"Екатеринбург, ул. Радищева, 33",117.0,84359,56.828493,60.588545
"Екатеринбург, ул. Мичурина, 54",37.2,68548,56.844097,60.627424
"Екатеринбург, ул. Белинского, д. 163б",87.6,77000,56.806427,60.625556
"Екатеринбург, ул. Лётчиков, 7",25.0,70000,56.861796,60.576705
"Екатеринбург, ул. Евгения Савкова, 31",41.0,65854,56.790536,60.485185
"Екатеринбург, ул. Евгения Савкова, д. 35",61.3,61175,56.789333,60.49
"Екатеринбург, ул.Стачек, д. 68",39.4,86548,56.897709,60.61774
"Екатеринбург, ул.Педагогическая/Гагарина/Вишневая/Мира/Библиотечная, стр. 48-1",32.8,79268,56.835042,60.655146
"Екатеринбург, ул. Краснолесья, жилые дома",35.6,73034,56.78708,60.532338
"Екатеринбург, ул. Колмогорова, 73к1",65.0,116769,56.851156,60.574415
"Екатеринбург, Техническая ул., 148",42.0,66429,56.881325,60.504634
"Екатеринбург, ул. Ткачей, 13",48.7,98563,56.816956,60.634602
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",128.9,81536,56.78633,60.646001
"Екатеринбург, ул. Белинского, 30",210.0,45238,56.833097,60.614345
"Екатеринбург, ул. Евгения Савкова, 33",35.1,55840,56.789555,60.485607
"Екатеринбург, ул Комсомольская, 76",67.0,76119,56.835042,60.661012
"Екатеринбург, ул. Лучистая/Счастливая/Чемпионов/Новосибирская, ЖР «Солнечный»",47.2,64619,56.744219,60.569285
"Екатеринбург, ул. 8 марта, ЖК «Ботанический сад»",59.0,92890,56.797561,60.609727
"Екатеринбург, ул.Юмашева, д. 13",88.0,106818,56.84424,60.571684
"Екатеринбург, микрорайон ЖБИ, ул. Новгородцевой, 13Б",58.0,75862,56.833407,60.675781
"Екатеринбург, Самолётная ул., 33",38.0,73684,56.783954,60.634449
"Екатеринбург, Фролова 31",70.0,80714,56.838991,60.542273
"Екатеринбург, ул. Крауля/Рабочих/Красных Зорь/Лоцмановых, 1 очередь",74.6,78284,56.831157,60.544456
"Екатеринбург, ул. Бажова, 166",38.4,55990,56.828803,60.630191
"Екатеринбург, Рощинская ул., 27",23.0,84783,56.781084,60.668531
"Екатеринбург, пер. Трактористов, 4",50.0,85400,56.802923,60.625771
"Екатеринбург, Свердловская обл, Екатеринбург, С.Сортировка, ул. Дружининская, 5б",39.0,66667,56.885274,60.505595
"Екатеринбург, б-р Золотистый, д. 4",52.1,95605,56.747057,60.566096
