longtitude,latitude
56.819695,60.618172
56.821868,60.620094
56.779136,60.70361
56.789333,60.49
56.861377,60.657572
56.800646,60.593495
56.903936,60.606413
56.847602,60.622528
56.883951,60.633605
56.777913,60.704015
56.781996,60.520758
56.846297,60.632886
56.884325,60.503008
56.782583,60.553978
56.827867,60.692822
56.798251,60.639614
56.815784,60.634207
56.796294,60.510922
56.788164,60.52887
56.788934,60.486766
56.795604,60.496207
56.862804,60.559368
56.806166,60.648104
56.782908,60.66554
56.786311,60.651068
56.803135,60.638501
56.796821,60.499567
56.812897,60.574702
56.810369,60.577083
56.801444,60.611273
56.765414,60.543737
56.796496,60.494303
56.790191,60.504714
56.896529,60.582679
56.78633,60.646001
56.810206,60.571953
56.803539,60.630946
56.763317,60.611317
56.863626,60.657257
56.807127,60.617013
56.786478,60.645687
56.86335,60.652514
56.828493,60.588545
56.844097,60.627424
56.806427,60.625556
56.861796,60.576705
56.790536,60.485185
56.789333,60.49
56.897709,60.61774
56.835042,60.655146
56.78708,60.532338
56.851156,60.574415
56.881325,60.504634
56.816956,60.634602
56.78633,60.646001
56.833097,60.614345
56.789555,60.485607
56.835042,60.661012
56.744219,60.569285
56.797561,60.609727
56.84424,60.571684
56.833407,60.675781
56.783954,60.634449
56.838991,60.542273
56.831157,60.544456
56.828803,60.630191
56.781084,60.668531
56.802923,60.625771
56.885274,60.505595
56.747057,60.566096
56.778317,60.549289
56.771018,60.607149
56.78673,60.512242
56.834737,60.565575
56.804436,60.630883
56.813247,60.630281
56.861796,60.576705
56.766105,60.544384
56.792187,60.609853
56.786069,60.516033
56.780398,60.700529
56.865279,60.667956
56.782953,60.668028
56.795466,60.49451
56.885432,60.501786
56.810369,60.577083
56.778875,60.699316
56.76083,60.591069
56.804554,60.603502
56.783204,60.540979
56.789333,60.49
56.810369,60.577083
56.786932,60.638842
56.897709,60.61774
56.783954,60.634449
56.78633,60.646001
56.753172,60.690351
56.836707,60.56094
56.7824,60.666636
56.804377,60.545408
56.87893,60.520471
56.78314,60.545947
56.771506,60.611758
56.864418,60.641779
56.789471,60.481807
56.867562,60.540809
56.812897,60.574702
56.765809,60.552819
56.812148,60.631027
56.865766,60.642381
56.791394,60.503681
56.855802,60.5825
56.788505,60.488392
56.790378,60.515288
