address,area,price,longtitude,latitude
"Москва, ул. Сущёвский Вал, 55",155.0,286000,55.793698,37.61441
"Москва, пос. Московский, дер. Румянцево, д. 2, вл. 17Е",75.4,116428,55.633963,37.425468
"Москва, Ленинский пр-т, 95Б",106.1,282752,55.672905,37.524318
"Москва, Конаковский пр.",82.0,206024,55.845911,37.482151
"Москва, пр-т Ленинградский, ЖК «Царская площадь»",94.5,275132,55.784779,37.562703
"Москва, пр-т Вернадского, 60к1",136.0,204507,55.67423,37.495635
"Москва, Ордынский туп., д. 4А",151.2,1164749,55.741227,37.62325
"Москва, Россия, Москва, Москва, Смоленская пл, 7-9, Арбат",117.0,1110256,55.751467,37.598079
"Москва, пр-д 3-й Автозаводский, вл. 13",62.6,241807,55.707522,37.655912
"Москва, Москва, Кронштадтский бульвар, 6к4",64.0,249219,55.84073,37.494404
"Москва, пос. Московский, дер. Румянцево, д. 3, вл. 17Е",57.0,129567,55.633963,37.425468
"Москва, п. Филимонковское, дер. Староселье, стр. 4",30.2,136941,55.553809,37.313484
"Москва, ул. Производственная, вл. 6, стр. 8",39.4,189604,55.644821,37.391215
"Москва, п. Филимонковское, дер. Староселье, стр. 2",77.4,111150,55.554058,37.313699
"Москва, ул. Автозаводская, стр. 16",71.0,229634,55.704215,37.645196
"Москва, ул. Автозаводская/Архитектора Щусева/наб. Марка Шагала, ЖК «ЗИЛАРТ»",79.5,210516,55.69346,37.630598
"Москва, Ильменский пр., вл. 14, стр. Д",25.5,226275,55.861524,37.5425
"Москва, Ленинский пр-т, 111А",102.0,333333,55.661902,37.508292
"Москва, Москва, Донецкая улица, 30к2",56.3,154529,55.646223,37.705832
"Москва, Мукомольный пр., 2",54.0,275926,55.75133,37.526887
"Москва, Россия, Москва г, Ярцевская ул, д. 34, корп. 2",46.0,300000,55.741673,37.419422
"Москва, Россия, Москва г, Ярцевская Улица, д. 34, корп. 1",66.4,289157,55.742276,37.419027
"Москва, Ленинградское ш, д.25к2",94.0,218085,55.827671,37.487559
"Москва, ул. Поляны/Скобелевская, стр. 1",42.0,169048,55.551385,37.555589
"Москва, ул. Бочкова, вл. 11А, корп. 3",57.0,190933,55.810405,37.62634
"Москва, ул. Бочкова, вл. 11А, корп. 1",29.6,246583,55.810405,37.62634
"Москва, Россия, Московская область, Москва, Большой толмачевский 4с1",171.0,877135,55.740725,37.622881
"Москва, пр. Невельского, 6к3",95.4,262055,55.751898,37.702077
"Москва, Производственная ул., 6к9",53.5,160560,55.647254,37.386418
"Москва, ул. Никитина/Бианки, стр. 8",38.8,130799,55.605861,37.361005
"Москва, ул. Паршина, вл. 10",79.1,224836,55.78975,37.456468
"Москва, ул. Нижняя Красносельская, д. 35, стр. 23",75.4,270196,55.77517,37.674022
"Москва, Россия, Москва, Дмитровская, Новодмитровская улица, 2к5",67.0,238806,55.80357,37.591027
"Москва, Россия, Москва, Ходынский бульвар, 15",140.0,400000,55.786708,37.523249
"Москва, Врачебный пр., 11к3",30.2,248344,55.812944,37.452462
"Москва, Мосфильмовская ул., 88к14",48.6,344444,55.705671,37.491134
"Москва, Москва, Московский, Татьянин Парк ул., 14к2, Татьянин парк",74.0,200946,55.655026,37.424399
"Москва, пр-д 3-й Автозаводский, вл. 13",62.6,241807,55.707522,37.655912
"Москва, пос. Московский, дер. Румянцево, д. 3, вл. 17Е",57.0,129567,55.633963,37.425468
"Москва, пос. Московский, дер. Румянцево, д. 2, вл. 17Е",99.2,121326,55.633963,37.425468
"Москва, ул. Бочкова, вл. 11А, корп. 3",57.0,190933,55.810405,37.62634
"Москва, ш. Ленинградское, вл. 58",34.7,230100,55.839522,37.482879
"Москва, ул. Академика Янгеля, 2",64.9,215716,55.596457,37.599822
"Москва, Москва, Муравская ул, 42к3",80.6,175682,55.858963,37.37297
"Москва, Москва, Пятницкое ш, 15",107.0,154206,55.842565,37.379186
"Москва, Россия, Москва, улица Народного Ополчения, 11",67.0,380597,55.772416,37.4743
"Москва, Москва, Ломоносовский пр-кт, 25к5",100.0,477500,55.692008,37.530939
"Москва, км Киевское шоссе 23-й (п Московский), 11 корп. 2",70.0,178571,55.617297,37.411454
"Москва, Россия, Москва, Минская улица, 1Гк2",121.0,316529,55.712122,37.499067
"Москва, Москва, Новокуркинское ш, 51",132.0,166667,55.909534,37.388502
"Москва, Москва, Красногвардейская 3-я ул, 3",78.3,381865,55.756401,37.537065
"Москва, г Москва, б-р Славянский, д 9 к 6",55.1,266788,55.724753,37.467302
"Москва, ул. Краснобогатырская, вл. 38",84.5,181400,55.810364,37.702535
"Москва, Дмитровское ш., 29к1",33.0,209091,55.828051,37.571965
"Москва, Мукомольный пр., 2",87.0,264368,55.75133,37.526887
"Москва, пр-д Шмитовский, вл. 39",40.4,245121,55.755135,37.526986
"Москва, 6-я Радиальная ул., вл7к3",84.5,128994,55.606731,37.663081
