longtitude,latitude
55.793698,37.61441
55.633963,37.425468
55.672905,37.524318
55.845911,37.482151
55.784779,37.562703
55.67423,37.495635
55.741227,37.62325
55.751467,37.598079
55.707522,37.655912
55.84073,37.494404
55.633963,37.425468
55.553809,37.313484
55.644821,37.391215
55.554058,37.313699
55.704215,37.645196
55.69346,37.630598
55.861524,37.5425
55.661902,37.508292
55.646223,37.705832
55.75133,37.526887
55.741673,37.419422
55.742276,37.419027
55.827671,37.487559
55.551385,37.555589
55.810405,37.62634
55.810405,37.62634
55.740725,37.622881
55.751898,37.702077
55.647254,37.386418
55.605861,37.361005
55.78975,37.456468
55.77517,37.674022
55.80357,37.591027
55.786708,37.523249
55.812944,37.452462
55.705671,37.491134
55.655026,37.424399
55.707522,37.655912
55.633963,37.425468
55.633963,37.425468
55.810405,37.62634
55.839522,37.482879
55.596457,37.599822
55.858963,37.37297
55.842565,37.379186
55.772416,37.4743
55.692008,37.530939
55.617297,37.411454
55.712122,37.499067
55.909534,37.388502
55.756401,37.537065
55.724753,37.467302
55.810364,37.702535
55.828051,37.571965
55.75133,37.526887
55.755135,37.526986
55.606731,37.663081
55.533674,37.517725
55.785073,37.69737
55.632093,37.675541
55.521109,37.584694
55.776912,37.487389
55.78116,37.451061
55.653726,37.529834
55.836438,37.499381
55.882409,37.681748
55.633963,37.425468
55.835518,37.49577
55.779155,37.600594
55.790712,37.474444
55.710038,37.60894
55.821178,37.495312
55.824314,37.4963
55.828541,37.491341
55.863545,37.478459
55.682351,37.461301
55.810405,37.62634
55.810405,37.62634
55.633963,37.425468
55.633963,37.425468
55.790777,37.523204
55.704215,37.645196
55.787442,37.498168
55.882409,37.681748
55.750069,37.592285
55.726583,37.572648
54.709304,39.546669
55.726583,37.572648
55.784719,37.496677
55.633963,37.425468
55.762789,37.508984
55.821871,37.593659
55.605332,37.359423
55.712888,37.489446
55.790712,37.474444
55.743461,37.418425
55.755135,37.526986
55.730725,37.670034
55.733097,37.670357
55.845228,37.637919
55.692008,37.530939
55.823393,37.619899
55.784977,37.56194
