address,area,price
"Москва, ул. Сущёвский Вал, 55",155.0,286000
"Москва, пос. Московский, дер. Румянцево, д. 2, вл. 17Е",75.4,116428
"Москва, Ленинский пр-т, 95Б",106.1,282752
"Москва, Конаковский пр.",82.0,206024
"Москва, пр-т Ленинградский, ЖК «Царская площадь»",94.5,275132
"Москва, пр-т Вернадского, 60к1",136.0,204507
"Москва, Ордынский туп., д. 4А",151.2,1164749
"Москва, Россия, Москва, Москва, Смоленская пл, 7-9, Арбат",117.0,1110256
"Москва, пр-д 3-й Автозаводский, вл. 13",62.6,241807
"Москва, Москва, Кронштадтский бульвар, 6к4",64.0,249219
"Москва, пос. Московский, дер. Румянцево, д. 3, вл. 17Е",57.0,129567
"Москва, п. Филимонковское, дер. Староселье, стр. 4",30.2,136941
"Москва, ул. Производственная, вл. 6, стр. 8",39.4,189604
"Москва, п. Филимонковское, дер. Староселье, стр. 2",77.4,111150
"Москва, ул. Автозаводская, стр. 16",71.0,229634
"Москва, ул. Автозаводская/Архитектора Щусева/наб. Марка Шагала, ЖК «ЗИЛАРТ»",79.5,210516
"Москва, Ильменский пр., вл. 14, стр. Д",25.5,226275
"Москва, Ленинский пр-т, 111А",102.0,333333
"Москва, Москва, Донецкая улица, 30к2",56.3,154529
"Москва, Мукомольный пр., 2",54.0,275926
"Москва, Россия, Москва г, Ярцевская ул, д. 34, корп. 2",46.0,300000
"Москва, Россия, Москва г, Ярцевская Улица, д. 34, корп. 1",66.4,289157
"Москва, Ленинградское ш, д.25к2",94.0,218085
"Москва, ул. Поляны/Скобелевская, стр. 1",42.0,169048
"Москва, ул. Бочкова, вл. 11А, корп. 3",57.0,190933
"Москва, ул. Бочкова, вл. 11А, корп. 1",29.6,246583
"Москва, Россия, Московская область, Москва, Большой толмачевский 4с1",171.0,877135
"Москва, пр. Невельского, 6к3",95.4,262055
"Москва, Производственная ул., 6к9",53.5,160560
"Москва, ул. Никитина/Бианки, стр. 8",38.8,130799
"Москва, ул. Паршина, вл. 10",79.1,224836
"Москва, ул. Нижняя Красносельская, д. 35, стр. 23",75.4,270196
"Москва, Россия, Москва, Дмитровская, Новодмитровская улица, 2к5",67.0,238806
"Москва, Россия, Москва, Ходынский бульвар, 15",140.0,400000
"Москва, Врачебный пр., 11к3",30.2,248344
"Москва, Мосфильмовская ул., 88к14",48.6,344444
"Москва, Москва, Московский, Татьянин Парк ул., 14к2, Татьянин парк",74.0,200946
"Москва, ш. Ленинградское, вл. 58",34.7,230100
"Москва, ул. Академика Янгеля, 2",64.9,215716
"Москва, Москва, Муравская ул, 42к3",80.6,175682
"Москва, Москва, Пятницкое ш, 15",107.0,154206
"Москва, Россия, Москва, улица Народного Ополчения, 11",67.0,380597
"Москва, Москва, Ломоносовский пр-кт, 25к5",100.0,477500
"Москва, км Киевское шоссе 23-й (п Московский), 11 корп. 2",70.0,178571
"Москва, Россия, Москва, Минская улица, 1Гк2",121.0,316529
"Москва, Москва, Новокуркинское ш, 51",132.0,166667
"Москва, Москва, Красногвардейская 3-я ул, 3",78.3,381865
"Москва, г Москва, б-р Славянский, д 9 к 6",55.1,266788
"Москва, ул. Краснобогатырская, вл. 38",84.5,181400
"Москва, Дмитровское ш., 29к1",33.0,209091
"Москва, пр-д Шмитовский, вл. 39",40.4,245121
"Москва, 6-я Радиальная ул., вл7к3",84.5,128994
"Москва, Россия, Москва г., улица Южнобутовская, 113",145.0,155103
"Москва, Россия, Москва г., проезд Попов, 4",103.3,274500
"Москва, Россия, Москва г., улица Медиков, 14 к2",85.0,217647
"Москва, рабочий пос. Дрожжино, Южная ул., 9",72.5,55172
"Москва, ул. Демьяна Бедного, д. 15",59.4,246000
"Москва, пр-т Маршала Жукова, 76к2",75.3,264940
"Москва, ул. Бутлерова, д. 7Б",51.6,169574
"Москва, ул. Выборгская, вл. 9",40.7,190418
"Москва, ул. Тайнинская, вл. 9",40.2,178738
"Москва, пос. Московский, дер. Румянцево, д. 1, вл. 17Е",73.8,131438
"Москва, ул. Выборгская/Адмирала Макарова, ЖК «Невский»",44.5,164045
"Москва, ул. Новослободская, стр. 1",111.3,435490
"Москва, ул. Берзарина, вл. 30",55.9,194704
"Москва, ул. Серпуховский Вал, д. 21, корп. 3",82.0,352439
"Москва, Москва, район Левобережный, Ленинградское шоссе, 17",70.6,244136
"Москва, Москва, район Левобережный, Ленинградское шоссе, 18",119.9,236347
"Москва, Москва, район Левобережный, Ленинградское шоссе, 28",34.9,236160
"Москва, Смольная ул., 49",82.1,225932
"Москва, Озёрная ул., 9",161.0,204969
"Москва, Ходынский б-р, 20А",33.0,296939
"Москва, ул. 3-я Хорошёвская, вл. 7",80.5,184994
"Москва, ул. Арбат, д. 24",129.5,790000
"Москва, ул. Усачева, вл. 11, стр. 2.10",96.1,594839
"Москва, ул. Усачева, жилые дома",138.5,641690
"Москва, ул. Усачева, вл. 11, стр. 2.7",159.5,699680
"Москва, ул. 3-я Хорошёвская, д. 19А",43.3,207991
"Москва, Шелепихинская наб., д. 34, корп. 2",70.3,279287
"Москва, Огородный пр-д, вл. 20",93.2,176800
"Москва, ул. Никитина/Бианки, стр. 6",60.3,128240
"Москва, Москва, Веерная ул., д.2",48.2,267635
"Москва, Ярцевская ул., 31",64.0,273438
"Москва, пр-т Волгоградский, вл. 32/5, корп. А, стр. 4",60.3,180900
"Москва, пр-т Волгоградский, вл. 32/5, корп. А, стр. 1",40.6,195900
"Москва, Москва, Калужско-Рижская линия, метро Ботанический сад",89.3,237992
"Москва, Ломоносовский пр-т, 25к5",182.0,549451
"Москва, ул. Академика Королёва, 10",128.0,523438
"Москва, пр-т Ленинградский, вл. 31",70.6,293201
