address,area,price,longtitude,latitude
"Санкт-Петербург, ул. Вадима Шефнера, 10к1",65.0,192308,59.938658,30.205582
"Санкт-Петербург, ул. Салова, д. 61, лит. А",37.0,146723,59.885142,30.368554
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 1",24.3,127572,60.039076,30.227959
"Санкт-Петербург, Пулковское ш., 38к7",26.8,166045,59.820553,30.327591
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",28.0,127709,59.934695,30.208681
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",62.0,100694,59.934695,30.208681
"Санкт-Петербург, пос. Шушары, Московское ш., 276",56.0,66071,59.756197,30.474879
"Санкт-Петербург, Вилькицкий б-р, 6",23.0,154348,59.93754,30.198503
"Санкт-Петербург, Санкт-Петербург, Мартынова наб, 62",147.7,473934,59.975603,30.249492
"Санкт-Петербург, Санкт-Петербург, Вилькицкий б-р, 7",41.0,151220,59.938486,30.196437
"Санкт-Петербург, ул. Типанова, 34к2",125.2,116613,59.852411,30.360505
"Санкт-Петербург, пос. Шушары, Московское ш., 284",34.0,94118,59.75563,30.478212
"Санкт-Петербург, пр-т Комендантский, стр. 6",25.1,123506,60.002283,30.264835
"Санкт-Петербург, Санкт-Петербург, Пулковское шоссе, 30",29.8,110738,59.825135,30.32636
"Санкт-Петербург, Среднерогатская ул., 14к1",37.0,125676,59.82362,30.337491
"Санкт-Петербург, Ленинский пр-т, 72к3",32.3,114551,59.862357,30.184184
"Санкт-Петербург, ул. Глухарская, уч. 29",39.7,129248,60.035342,30.232028
"Санкт-Петербург, пр-т Аптекарский, д. 5, корп. А",88.1,218500,59.973509,30.321743
"Санкт-Петербург, пр-т Аптекарский, д. 5, корп. А",45.9,225153,59.973509,30.321743
"Санкт-Петербург, ул. Глухарская, уч. 32, корп. К2",41.0,101220,60.028514,30.210118
"Санкт-Петербург, Плесецкая ул., 10",23.0,115217,60.035059,30.217098
"Санкт-Петербург, Ленинский пр-т, 55к1",45.1,99778,59.86247,30.171617
"Санкт-Петербург, ул. Парашютная, д. 44, корп. 2",78.9,114068,60.02984,30.249465
"Санкт-Петербург, Петергофское ш.",43.6,115298,59.846712,30.157208
"Санкт-Петербург, Парашютная ул., 34",24.0,122917,60.026766,30.254792
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",27.0,122844,59.934695,30.208681
"Санкт-Петербург, пос. Шушары, территория Славянка, Галицкая ул., 19к6",72.0,81944,59.736548,30.455475
"Санкт-Петербург, ул. Кораблестроителей, 32к3",40.1,172070,59.953358,30.214709
"Санкт-Петербург, Россия, Санкт-Петербург, Красногвардейский, Энтузиастов пр., 31к3",87.0,97701,59.947352,30.479891
