longtitude,latitude
59.914628,30.481185
59.873505,30.34774
59.960183,30.345809
59.857992,30.172057
59.832683,30.549116
60.046203,30.363084
59.939951,30.250812
60.061089,30.426711
60.042415,30.224716
59.936629,30.19968
59.82727,30.349735
59.885142,30.368554
60.000726,30.221482
60.040218,30.414782
60.041112,30.409994
59.998225,30.19765
60.018475,30.273791
59.852384,30.31364
59.811061,30.371689
59.936007,30.200515
59.963539,30.273171
59.859144,29.941037
60.035131,30.404729
59.70713,30.387051
59.983743,30.358727
60.002202,30.268635
59.907501,30.308179
59.940799,30.390491
60.077458,30.337895
59.904902,30.322956
59.934695,30.208681
60.116078,29.961788
59.986686,30.363964
59.993293,30.356948
59.831272,30.329891
59.978935,30.348387
59.899058,30.451478
59.96961,30.339889
60.005036,30.21028
60.091011,29.95356
59.913726,30.438479
60.031418,30.200947
59.983108,30.523532
59.953358,30.214709
60.032281,30.215499
59.952493,30.212346
59.926981,30.350076
59.810251,30.370387
59.897767,30.418519
59.912513,30.306822
59.967736,30.28873
59.902799,30.42672
60.002202,30.268635
60.032425,30.238712
60.073315,30.24306
59.869562,30.416452
59.857992,30.172057
59.735695,30.468743
60.070796,30.338829
60.082857,30.352115
59.820282,30.3382
59.937265,30.255501
59.831453,30.327681
59.846201,30.112121
59.991759,30.327385
59.902501,30.327295
60.032281,30.215499
59.864837,30.410218
59.997257,30.330529
59.905321,30.342359
59.934695,30.208681
59.808111,30.371249
60.003682,30.2041
59.843272,30.30242
59.825868,30.553967
59.853482,30.142089
59.811609,30.364045
60.002036,30.212238
59.803975,30.375328
59.982055,30.378103
60.00321,30.297713
59.830811,30.363102
60.027543,30.212679
59.831137,30.210873
60.039589,30.224141
59.899058,30.451478
59.890798,30.415428
60.031571,30.233304
60.035351,30.225614
59.885142,30.368554
59.919955,30.34553
59.885142,30.368554
59.825135,30.32636
60.034304,30.459311
59.890631,30.416201
60.036474,30.226216
59.957584,30.405511
59.907325,30.322417
59.766928,30.12795
59.89255,30.450202
59.890658,30.489198
59.866667,30.4686
59.997257,30.330529
59.98922,30.298647
59.994751,30.275237
59.934695,30.208681
59.869725,30.161825
59.939938,30.391246
59.953908,30.276818
59.95129,30.264997
59.95129,30.264997
59.975013,30.247066
59.885142,30.368554
60.002036,30.212238
60.031571,30.233304
59.925416,30.37416
59.843521,30.115068
59.906707,30.251261
59.988874,30.298845
60.031175,30.44059
60.01843,30.267988
59.98359,30.237607
59.848167,30.308179
60.074527,30.335335
60.000726,30.221482
59.991786,29.775846
59.936629,30.19968
59.819196,30.327627
59.984904,30.407433
59.858272,30.149374
59.864096,30.170862
59.789258,30.170224
59.936007,30.200515
60.011959,30.401945
59.857992,30.319515
59.901287,30.43158
59.932144,30.268177
59.863161,30.151926
59.885142,30.368554
60.031175,30.44059
59.848167,30.308179
59.901287,30.43158
59.997307,30.328741
59.829898,30.346303
59.899248,30.452691
59.863161,30.151926
59.932144,30.268177
59.826655,30.35119
60.018475,30.273791
59.863161,30.151926
59.853523,30.156543
59.981582,30.320476
59.84974,30.156534
59.831137,30.210873
59.831377,30.53733
59.852452,30.156597
60.081511,30.345477
59.936007,30.200515
59.899058,30.451478
59.902091,30.307693
59.896264,30.309876
59.855331,30.319839
60.034681,30.224617
60.062229,30.290006
59.99638,30.201333
59.744977,30.469004
59.896282,30.281157
59.82727,30.349735
59.821802,30.329783
60.029112,30.248791
59.982905,30.225147
60.002607,30.448432
59.855331,30.319839
60.026662,30.322579
60.027543,30.212679
59.934695,30.208681
59.934695,30.208681
59.944323,30.471402
59.824593,30.337419
59.974342,30.32071
60.01843,30.267988
59.932144,30.268177
59.863161,30.151926
59.997307,30.328741
59.944323,30.471402
59.98922,30.298647
59.936007,30.200515
59.827189,30.327088
60.030052,30.241434
59.811061,30.371689
59.863161,30.151926
59.937017,30.203902
59.917619,30.361988
59.853482,30.142089
60.029458,30.251764
59.82727,30.349735
59.847783,30.105483
59.840849,30.312383
60.039076,30.227959
59.863161,30.151926
59.987303,30.219272
60.005666,30.151683
60.08165,30.321231
59.984445,30.353525
59.958264,30.22009
59.829898,30.346303
59.957129,30.29129
60.002283,30.264835
59.997257,30.330529
59.860979,30.454855
59.915982,30.4155
59.997212,30.301172
