address,area,price
"Санкт-Петербург, ул. Подвойского, 26к3",82.4,140000
"Санкт-Петербург, Витебский пр-т, 15",37.2,169355
"Санкт-Петербург, пр-т Большой Сампсониевский, стр. 1",31.5,139683
"Санкт-Петербург, ул. Маршала Захарова, 18к1",39.4,116751
"Санкт-Петербург, территория Усть-Славянка, Заводская ул.",39.0,96154
"Санкт-Петербург, пр-т Просвещения, 43",46.2,135281
"Санкт-Петербург, Малый пр-т Васильевского острова, 64к1",69.1,212735
"Санкт-Петербург, Мурино, Воронцовский б-р, 14к4",20.6,106311
"Санкт-Петербург, Арцеуловская ал., д. 23, корп. 1",26.0,138077
"Санкт-Петербург, б-р Головнина, 10",40.2,126866
"Санкт-Петербург, ш. Московское, д. 13, лит. АМ",29.7,117845
"Санкт-Петербург, ул. Салова, д. 61, лит. А",26.0,120110
"Санкт-Петербург, ул. Яхтенная, д. 28",32.0,171250
"Санкт-Петербург, ул. Ушинского, 33к3",33.0,122727
"Санкт-Петербург, ул. Брянцева, 15к2",38.8,128608
"Санкт-Петербург, Лыжный пер., 4к3",37.0,170000
"Санкт-Петербург, ул. Парашютная, стр. 21",114.0,96491
"Санкт-Петербург, Санкт-Петербург, Варшавская ул., д.59",108.8,162684
"Санкт-Петербург, ул. Вишерская/пр-т Новгородский, стр. 33.1",25.1,64542
"Санкт-Петербург, б-р Александра Грина, д. 3, стр. 1",35.4,101412
"Санкт-Петербург, ул. Пионерская, д. 50, лит. А",117.0,156410
"Санкт-Петербург, Петергоф, Парковая ул., 16к3",75.2,83777
"Санкт-Петербург, ул. Брянцева, 7к1",36.0,147222
"Санкт-Петербург, Пушкинский р-н, Пушкин г., Колокольный пер., д.5",93.4,163812
"Санкт-Петербург, ул. Новолитовская, д. 16, корп. 2",28.5,140351
"Санкт-Петербург, пр-т Комендантский/Глухарская, уч. 305, стр. 3",25.5,137255
"Санкт-Петербург, Адмиралтейский район, муниципальный округ Измайловское",35.0,166114
"Санкт-Петербург, Санкт-Петербург, Новгородская ул, 23",58.5,273333
"Санкт-Петербург, пос. Парголово, ул. Николая Рубцова, 11к1",35.2,117898
"Санкт-Петербург, Санкт-Петербург, Смоленская ул, 14",115.0,165130
"Санкт-Петербург, ул. Вадима Шефнера, стр. 2",66.0,100773
"Санкт-Петербург, Санкт-Петербург, г. Сестрорецк, Приморское ш., д.293, к.Лит А",48.0,113542
"Санкт-Петербург, Россия г Санкт-Петербург, пр-кт Маршала Блюхера, д. 4, корп. 3",85.8,111897
"Санкт-Петербург, Санкт-Петербург, Политехническая ул., д.6",22.2,139189
"Санкт-Петербург, Санкт-Петербург, Пулковское ш., д.14, к.6",23.2,141810
"Санкт-Петербург, Россия г Санкт-Петербург, ул Новолитовская, корп. 1",62.3,168482
"Санкт-Петербург, Октябрьская наб., д. 42",41.0,109756
"Санкт-Петербург, Россия г Санкт-Петербург, пер Крапивный, д. 4, стр. а",46.4,216877
"Санкт-Петербург, Россия г Санкт-Петербург, ул Туристская, д. 30, корп. 1",49.5,123232
"Санкт-Петербург, Россия г Санкт-Петербург, г Сестрорецк, ул Токарева, д. 24, стр. 1",42.0,142019
"Санкт-Петербург, пр-т Дальневосточный, д. 12, корп. 2",93.8,152441
"Санкт-Петербург, Планерная ул., 87к1",58.0,92241
"Санкт-Петербург, Окраинная ул., 9К",60.0,94167
"Санкт-Петербург, ул. Кораблестроителей, 32к3",40.1,172070
"Санкт-Петербург, ул. Глухарская, уч. 18",33.0,125758
"Санкт-Петербург, ул. Кораблестроителей, 30",94.5,164021
"Санкт-Петербург, ул. Достоевского, 1",132.2,97958
"Санкт-Петербург, пос. Шушары, Вишерская ул., 3к2",57.0,87702
"Санкт-Петербург, ул. Бабушкина, д. 82, лит. А, блок-секция 5",36.7,151226
"Санкт-Петербург, ул. 11-я Красноармейская, стр. 1",80.7,216432
"Санкт-Петербург, ул. Барочная, ЖК «Futurist» (Футурист)",97.1,244078
"Санкт-Петербург, пер. Общественный, д. 5, стр. 1",42.8,160954
"Санкт-Петербург, Комендантский пр-т, 53к4",68.0,113235
"Санкт-Петербург, Санкт-Петербург, посёлок Парголово, Тихоокеанская улица, 1к2",45.9,54031
"Санкт-Петербург, Софийская ул., 48к4",58.0,201724
"Санкт-Петербург, пос. Шушары, территория Славянка, Полоцкая ул., 4к1",55.2,77899
"Санкт-Петербург, Санкт-Петербург, территория Парнас",24.0,109167
"Санкт-Петербург, пос. Парголово, Заречная ул., 45к1",58.6,107509
"Санкт-Петербург, Среднерогатская ул., 20",74.8,104278
"Санкт-Петербург, 24-я линия В.О., стр. 25, лит. И",29.4,217687
"Санкт-Петербург, Пулковское ш., 14Е",30.0,128333
"Санкт-Петербург, Петергофское ш., 78к5",33.0,96667
"Санкт-Петербург, Земледельческая ул., 3Д",73.1,121966
"Санкт-Петербург, Киевская ул., 5",37.0,167568
"Санкт-Петербург, Санкт-Петербург, район Фрунзенский, проспект Славы, 52 корп.1",63.5,156693
"Санкт-Петербург, пр-т Энгельса, этап 1",54.2,96047
"Санкт-Петербург, пр-т Лиговский, д. 271, лит. А",43.9,145330
"Санкт-Петербург, пос. Шушары, Окуловская ул., 8",50.0,92800
"Санкт-Петербург, Санкт-Петербург, Оптиков ул., д.45, к.2",72.0,115972
"Санкт-Петербург, 1-й Предпортовый пр., 11А",33.0,151485
"Санкт-Петербург, территория Усть-Славянка, Советский пр-т, 36к1",40.1,102244
"Санкт-Петербург, ул. Адмирала Черокова, 18к2",33.9,153392
"Санкт-Петербург, пос. Шушары, Вилеровский пер., 6",24.0,137500
"Санкт-Петербург, ул. Оптиков, 37",33.4,134431
"Санкт-Петербург, пос. Шушары, Вишерская ул., 22",94.8,68027
"Санкт-Петербург, пр-т Маршала Блюхера, стр. 12, лит. ВС",56.0,109286
"Санкт-Петербург, Коломяжский пр-т",53.2,111747
"Санкт-Петербург, пр-т Космонавтов, д. 102, корп. 1",42.0,188095
"Санкт-Петербург, ул. Глухарская, 1 этап",23.7,103790
"Санкт-Петербург, ул. Тамбасова/Пограничника Гарькавого/Новобелицкой/пр. Ветеранов, уч. 94",36.1,124100
"Санкт-Петербург, Комендантский пр-т, 69",24.6,126016
"Санкт-Петербург, наб. Октябрьская, стр. 42",71.0,132500
"Санкт-Петербург, ул. Невзоровой, стр. 6",53.4,119168
"Санкт-Петербург, пр-т Комендантский, стр. 55, корп. 1",32.2,118944
"Санкт-Петербург, Санкт-Петербург, Комендантский пр-кт, 60",81.0,119753
"Санкт-Петербург, ул. Салова, стр. 61, лит. А",26.5,112830
"Санкт-Петербург, Санкт-Петербург, Центральный район, муниципальный округ Владимирский, жилой комплекс Йес Марата",19.3,373057
"Санкт-Петербург, ш. Пулковское, стр. 30В",62.6,95383
"Санкт-Петербург, аллея Евгения Шварца, 8к1",39.0,104872
"Санкт-Петербург, ул. Невзоровой, стр. 8",77.0,111010
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 1",51.4,116196
"Санкт-Петербург, Пискаревский пр-т, д. 1",163.2,274457
"Санкт-Петербург, ул. Заозерная, стр. 1",22.9,209607
"Санкт-Петербург, ул. Максима Горького, стр. 2, лит. О",46.3,201227
"Санкт-Петербург, Санкт-Петербург, Крыленко ул, 1к4",40.9,103912
"Санкт-Петербург, пр-т Большевиков, 43к1",83.0,108434
"Санкт-Петербург, пр-т Обуховской Обороны, 110к1",40.5,172840
"Санкт-Петербург, ул. Школьная, 1 оч.",25.1,97650
"Санкт-Петербург, ул. Полевая Сабировская, д. 45а, лит. А",36.0,115556
"Санкт-Петербург, ул. Маршала Казакова, 82к1",37.0,110811
"Санкт-Петербург, Кирочная ул., 70",74.0,182297
"Санкт-Петербург, Санкт-Петербург, Петровский пр-кт, 2",96.0,284552
"Санкт-Петербург, Санкт-Петербург, Уральская ул, 6к3",134.5,105948
"Санкт-Петербург, Санкт-Петербург, Уральская ул, 6",129.5,136845
"Санкт-Петербург, Санкт-Петербург, Мартынова наб, 74Б",187.5,418880
"Санкт-Петербург, Комендантский пр-т, 55к1",33.0,108485
"Санкт-Петербург, ул. Тележная, стр. 17-19, лит. А",52.6,262250
